can	罐頭	罐头
china aster	翠菊	翠菊
short-toed eagle	短趾雕	短趾雕
dusky shark	烏錐齒鯊 （Carcharinus obcurus）	乌锥齿鲨 （Carcharinus obcurus）
ice lolly	冰棒	冰棍
new england aster	美國紫菀(紅花紫菀)	美国紫菀(红花紫菀)
syrian bean caper	敘利亞豆角豆	叙利亚豆角豆
burp gun	連發手槍	连发手枪
absorbent material	吸收劑	吸收剂
cellulose acetate	醋酸纖維素	醋酸纤维素
dart thrower	飛鏢投擲者	飞镖投掷者
burmese rosewood	青龍木	青龙木
mezzanine floor	夾層樓面	夹层楼面
beach aster	【植物】紫色飛蓬(Erigeron glaucus) [亦作 seaside daisy]	【植物】紫色飞蓬(Erigeron glaucus) [亦作 seaside daisy]
lymphatic tissue	淋巴組織	淋巴组织
liqueur glass	利口酒杯	利口酒杯
coffee liqueur	（調酒用）咖啡香甜酒	（调酒用）咖啡香甜酒
southern aster	南方的星星	南方的星星
winter savoury	冬天美味	冬天美味
toy spaniel	玩具獵犬	玩具猎犬
wood aster	木星	木星
pituitary gland	腦下垂體	脑下垂体
genus dahlia	大麗花屬	大丽花属
lymphatic vessel	淋巴管	淋巴管
wiper arm	接帶臂	接带臂
electric dipole	電偶極子	电偶极子
genus calypso	Calypso屬	Calypso属
white wood aster	白花紫菀 （Aster divaricatus）	白花紫菀 （Aster divaricatus）
missouri gourd	密蘇里葫蘆	密苏里葫芦
oral fissure	口裂	口裂
buttermilk pancake	酪乳煎餅	酪乳煎饼
golden aster	金菊	金菊
condenser microphone	電容式微音器	电容式微音器
english toy spaniel	英國玩賞犬	英国玩赏犬
marmalade plum	果醬李子	果酱李子
zinc vitriol	鋅礬	锌矾
ethyl ether	二乙醚	二乙醚
false mistletoe	假槲寄生	假槲寄生
orange liqueur	橙酒	橙酒
wiper motor	刮水器電動機	刮水器电动机
shasta daisy	大濱菊	大滨菊
carbon tet	碳素	碳素
shoulder girdle	肩胛帶	肩胛带
nasal septum	鼻中隔	鼻中隔
turnip greens	蕪菁	芜菁
rush aster	急急急急	急急急急
ethyl chloride	乙基氯	乙基氯
amyloid protein plaque	澱粉樣蛋白斑塊	淀粉样蛋白斑块
long-eared owl	長耳鴞	长耳鸮
sloop	單桅帆船	单桅帆船
geyser	噴泉	喷泉
creatine	肌酸	肌酸
arboretum	樹木園	树木园
hyena	袋狼	袋狼
tylenol	羥苯基乙醯胺	羟苯基乙酰胺
prong	叉狀物	叉状物
herbicide	除草劑	除草剂
manna	嗎哪天賜食物	吗哪天赐食物
materiel	物料	物料
prosthesis	彌補	弥补
buffalo gourd	臭瓜	臭瓜
resonator	共鳴器	共鸣器
workhouse	(英)貧民習藝所	(英)贫民习艺所
greaves	油渣	油渣
blindfold	眼罩	眼罩
wadi	幹河床	干河床
amphitheater	圓形劇場	圆形剧场
bobcat	紅貓	红猫
washroom	盥洗室	盥洗室
beaker	大口酒杯	大口酒杯
cassava	木薯	木薯
arsehole	屁眼兒	屁眼儿
bock	德國黑啤酒	德国黑啤酒
perishable	易腐壞的東西	易腐坏的东西
alpaca	羊駝	羊驼
hearse	靈車	灵车
oregano	〈植〉牛至	〈植〉牛至
orangutan	猩猩	猩猩
polystyrene	聚苯乙烯	聚苯乙烯
pfc	陸軍一等兵	陆军一等兵
dollhouse	玩具小屋	玩具小屋
tongs	鉗子	钳子
argent	銀	银
filet	頭帶	头带
ooze	滲流	渗流
bezel	視窗	窗口
hardback	精裝本	精装本
wallow	打滾	打滚
flipper	鰭狀肢	鳍状肢
radium	鐳	镭
follicle	小囊	小囊
cellulite	（胖女人臀腿部的）脂肪團	（胖女人臀腿部的）脂肪团
husk tomato		
lazar house	麻瘋病院	麻疯病院
sloop of war	單桅戰船	单桅战船
alveolar point	[上]牙槽中點	[上]牙槽中点
alveolar process	牙槽突	牙槽突
smooth aster	光滑的星星	光滑的星星
contraceptive diaphragm	陰道隔膜	阴道隔膜
fire tongs	火鉗	火钳
slo-bid	申請號	申请号
anti-tnf compound	抗TNF化合物	抗TNF化合物
lister plough	ister犁	ister犁
hyena dog	鬣狗	鬣狗
sierra madre oriental	塞拉馬德雷山脈(在北美墨西哥)	塞拉马德雷山脉(在北美墨西哥)
absorbent cotton	脫脂棉	脱脂棉
hair follicle	毛囊	毛囊
alveolar bed	肺泡床	肺泡床
crepe jasmine	狗牙花	狗牙花
ice tongs	冰塊夾	冰块夹
alkyl radical	烷基	烷基
brown hyena	棕鬣狗	棕鬣狗
vertebral column	脊柱	脊柱
rhea americana	美洲鴕鳥	美洲鸵鸟
sweet cassava	甜木薯	甜木薯
indelible ink	消不去的墨水	消不去的墨水
red-winged blackbird	美洲紅翼鶇	美洲红翼鸫
fish filet	魚片	鱼片
late purple aster	晚紫色的星星	晚紫色的星星
trailing windmills	尾隨風車	尾随风车
smoked haddock	煙燻魚	烟熏鱼
meadow leek	草地韭菜	草地韭菜
genus candida	假絲酵母屬	假丝酵母属
genus rhinoceros	犀牛屬	犀牛属
pair of tongs	鉗子	钳子
red-shouldered hawk	赤肩鵟	赤肩鵟
bock beer	烈性黑啤酒	烈性黑啤酒
chain tongs	鏈鉗	链钳
vertebral canal	椎管	椎管
laughing hyena	【動】笑NE16F	【动】笑NE16F
clove hitch	卷結	卷结
manna from heaven	天賜之物	天赐之物
wiper blade	刮水片	刮水片
bombardier beetle	行夜	行夜
intravenous anesthetic	靜脈麻醉藥	静脉麻醉药
moray firth	默裡灣(北海伸入英國蘇格蘭東北部沿海地區的海灣)	默里湾(北海伸入英国苏格兰东北部沿海地区的海湾)
diffraction grating	衍射光柵	衍射光栅
magnetic dipole	磁偶極子	磁偶极子
migratory locust	飛蝗	飞蝗
emissary vein	導靜脈	导静脉
adirondack mountains	阿第倫達克山脈	阿第伦达克山脉
malacca cane	馬六甲手杖	马六甲手杖
coal tongs	火鉗	火钳
ant thrush	螞蟻鵝口瘡	蚂蚁鹅口疮
mistletoe rubber plant	槲寄生橡膠廠	槲寄生橡胶厂
sarin	沙林	沙林
cottonwood	三角葉楊	三角叶杨
sonora	索諾拉省（墨西哥北部）	索诺拉省（墨西哥北部）
acetone	丙酮	丙酮
thorium	釷	钍
splinters	尖片	尖片
cation	陽離子	阳离子
poncho	南美披風	南美披风
buttercup	毛茛屬植物	毛茛属植物
submersible	能沉入水中的	能沉入水中的
tricycle	三輪車	三轮车
sarcophagus	石棺	石棺
neve	冰原	冰原
belvedere	望景樓	望景楼
conch	海螺殼	海螺壳
barrack	兵舍	兵舍
chiffon	雪紡綢	雪纺绸
frieze	飾帶	饰带
oeuvre	全部作品	全部作品
jute	朱特人	朱特人
ruffle	皺褶	皱褶
strobe	閃光	闪光
lounging robe	休閒長袍	休闲长袍
woodcock	丘鷸	丘鹬
sideboard	餐具櫃	餐具柜
jib	船首三角帆	船首三角帆
buckwheat	蕎麥	荞麦
chloroform	氯仿	氯仿
preservative	預防藥	预防药
crankshaft	曲軸	曲轴
crossbar	閂	闩
plexus	(血管	(血管
lucerne	苜蓿	苜蓿
pail	桶	桶
meringue	糕餅	糕饼
corrie	山側的圓形凹地	山侧的圆形凹地
iga	integrating gyro (scope) accelerometer 綜合迴轉（範圍）加速計	integrating gyro (scope) accelerometer 综合回转（范围）加速计
permafrost	[地]永久凍結帶	[地]永久冻结带
amine	胺	胺
bonsai	[日]盆栽	[日]盆栽
bantam	矮腳雞	矮脚鸡
lido	公共露天游泳池	公共露天游泳池
silks	絲( silk的複數形式 )	丝( silk的复数形式 )
presbytery	長老住宅	长老住宅
eyeglasses	眼鏡（等於glasses）	眼镜（等于glasses）
overhang	突出部份	突出部份
angelique	安琪莉可（女子名）	安琪莉可（女子名）
humber	亨伯河（英國的一條河流）	亨伯河（英国的一条河流）
candlestick	蠟杆	蜡杆
chromatin	核染質	核染质
tabby	平紋	平纹
vise	虎鉗	虎钳
wok	鍋（源自廣東話）	锅（源自广东话）
centipede	百腳	百脚
fastening	緊韌體	紧固件
walrus moustache	海象鬍子	海象胡子
buttercup family	毛茛科	毛茛科
buckwheat family	【植物】蓼科	【植物】蓼科
house centipede	蚰蜒（蚰蜒屬節肢動物）	蚰蜒（蚰蜒属节肢动物）
saber-toothed tiger	劍齒虎（一種古生動物）	剑齿虎（一种古生动物）
maryland golden aster	馬里蘭州金色大猩猩	马里兰州金色大猩猩
black cottonwood	美國黑楊	美国黑杨
prickly custard apple	仙人掌蘋果	仙人掌苹果
manna grass	甜茅（草） (Glyceria)	甜茅（草） (Glyceria)
gai choi		
water buttercup	水毛茛	水毛茛
mexican husk tomato	墨西哥外殼番茄	墨西哥外壳番茄
strobe light	閃光燈	闪光灯
american woodcock	美洲丘鷸	美洲丘鹬
acetone body	酮體	酮体
heart urchin	心形海膽	心形海胆
china jute	苘麻	苘麻
mistletoe fig	槲寄生無花果	槲寄生无花果
ooze leather	植鞣絨面革（尤指小牛皮革）	植鞣绒面革（尤指小牛皮革）
common buttercup	常見毛茛	常见毛茛
kino gum	桉樹膠	桉树胶
sex chromatin	性染色質	性染色质
inhalation anesthetic	吸入麻醉藥	吸入麻醉药
gum kino	奇諾膠	奇诺胶
western buttercup	西式毛茛	西式毛茛
california buckwheat	加州蕎麥	加州荞麦
sea urchin	海膽	海胆
canton crepe	縐紗	绉纱
tumour necrosis factor	腫瘤壞死因子	肿瘤坏死因子
herbaceous plant	草本植物	草本植物
cape canaveral	卡納維拉爾角（位於美國）	卡纳维拉尔角（位于美国）
buckwheat tree	蕎麥樹	荞麦树
geiger-muller counter	蓋革-米勒計數器	盖革-米勒计数器
shamrock pea	一顆血	一颗血
wild buckwheat	金蕎麥	金荞麦
eastern cottonwood	東部楊木	东部杨木
humber bridge	漢伯橋	汉伯桥
wood vise	木虎鉗	木虎钳
garden centipede	花園蜈蚣	花园蜈蚣
tabby cat	虎斑貓	虎斑猫
dinner pail	飯盒	饭盒
eames chair	埃姆斯椅	埃姆斯椅
flying jib	三角帆	三角帆
lever tumbler	槓桿滾筒	杠杆滚筒
electric shaver	電動刮鬍刀	电动刮胡刀
giant conch	巨型海螺	巨型海螺
voltage divider	分壓器	分压器
vertebral arch	椎弓	椎弓
giant buttercup	巨大的毛茛	巨大的毛茛
smut fungus	黑粉菌	黑粉菌
sour gourd	苦瓜	苦瓜
grainy club mushrooms	顆粒狀的俱樂部蘑菇	颗粒状的俱乐部蘑菇
sawdust mushroom	鋸屑蘑菇	锯屑蘑菇
meringue kiss	蛋白甜餅	蛋白甜饼
bitter cassava	苦木薯	苦木薯
coaxial cable	同軸電纜	同轴电缆
chiffon cake	戚風蛋糕	戚风蛋糕
buckwheat cake	用蕎麥做的薄煎餅	用荞麦做的薄煎饼
spotted hyena	斑點鬣狗	斑点鬣狗
solar plexus	腹腔神經叢	腹腔神经丛
green smut fungus	綠ut真菌	绿ut真菌
tall buttercup	毛莨	毛莨
fiddler crab	招潮蟹	招潮蟹
humpback whale	駝背鯨	驼背鲸
isthmus of panama	巴拿馬地峽	巴拿马地峡
shoulder vise	肩膀虎鉗	肩膀虎钳
geiger-muller tube	蓋革 - 穆勒管	盖革 - 穆勒管
manna ash	（歐洲）花白臘樹	（欧洲）花白腊树
pants presser	燙褲器	烫裤器
parabolic mirror	拋物柱面（反射）鏡	抛物柱面（反射）镜
palatine bone	顎骨	腭骨
tall field buttercup	高大的毛茛	高大的毛茛
sketchbook	寫生簿	写生簿
maggot	狂想	狂想
backroom	後房	后房
roundhouse	圓形機車庫	圆形机车库
foetus	胚胎	胚胎
mandolin	曼陀林(琴)	曼陀林(琴)
bridle	馬勒	马勒
termite	白蟻	白蚁
moped	助動車	助动车
barracuda	梭子魚	梭子鱼
hazelnut	榛實	榛实
radish	小蘿蔔	小萝卜
ribbed toad	肋骨蟾蜍	肋骨蟾蜍
precipitate	沉澱物	沉淀物
scarab	金龜子科甲蟲	金龟子科甲虫
bodywork	車身	车身
wether	閹羊	阉羊
bap	基本彙編程式	基本汇编程序
collarbone	鎖骨	锁骨
vaseline	凡士林	凡士林
tabor	單面小鼓	单面小鼓
crematorium	焚屍爐	焚尸炉
croissant	羊角麵包	羊角面包
visage	臉	脸
activator	活化劑	活化剂
eatery	簡便飲食店	简便饮食店
guan	中南美所產的冠雉（外形似火雞）	中南美所产的冠雉（外形似火鸡）
mandala	曼荼羅	曼荼罗
hairpin	簪	簪
polygraph	多種波動記錄儀	多种波动记录仪
remaking	重製	重制
megaphone	擴音器	扩音器
gulch	地溝	地沟
rotunda	圓形建築	圆形建筑
aquila	天鷹座	天鹰座
diffuser	漫射體	漫射体
pippin	用種子栽培的蘋果	用种子栽培的苹果
urinal	尿壺	尿壶
bracken	歐洲蕨	欧洲蕨
inverter	倒轉者	倒转者
pheasant cuckoo	雉鵑	雉鹃
glycogen	糖原	糖原
flounder	掙扎	挣扎
oktoberfest	啤酒節又叫德國十月節	啤酒节又叫德国十月节
tumbler pigeon	滾球鴿	滚球鸽
clary	[植]鼠尾草屬的植物	[植]鼠尾草属的植物
jugular	頸靜脈	颈静脉
sourdough	含酵母的麵糰	含酵母的面团
rushmore	拉石茂山	拉石茂山
grubby	汙穢的	污秽的
pewter	白蠟	白蜡
bookcase	書架	书架
vagabond	流浪者	流浪者
chowder	雜燴	杂烩
esplanade	平坦空地	平坦空地
protease	朊酶	朊酶
scythe	長柄大鐮刀	长柄大镰刀
alveolar ridge	牙槽嵴	牙槽嵴
lido deck	麗都甲板	丽都甲板
great barracuda	偉大的梭子魚	伟大的梭子鱼
black-necked cobra	黑頸眼鏡蛇	黑颈眼镜蛇
bench vise	臺鉗	台钳
skirting board	壁腳板	壁脚板
crackle china	爆裂中國	爆裂中国
genus sorghum	蜀黍屬	蜀黍属
french bracken	法國蕨菜	法国蕨菜
summer flounder	鰈魚(Paralichthys dentatus)	鲽鱼(Paralichthys dentatus)
bridle road	馱運路	驮运路
genus ibis	宜必思屬	宜必思属
tasman dwarf pine	塔斯曼矮松	塔斯曼矮松
nutmeg hickory	肉豆蔻山核桃木	肉豆蔻山核桃木
prickly pear cactus	仙人掌萃取物	仙人掌萃取物
ballast resistor	鎮流器	镇流器
benzene nucleus	苯核	苯核
flag smut fungus	旗ut真菌	旗ut真菌
white-topped aster	白頂雀	白顶雀
sawing machine	鋸機	锯机
winter flounder	美洲擬鰈	美洲拟鲽
radish plant	蘿蔔植物	萝卜植物
fish chowder	奶油魚片湯	奶油鱼片汤
rove beetle	隱翅蟲	隐翅虫
hazelnut tree	榛子樹	榛子树
japanese radish	日本蘿蔔	日本萝卜
windward passage	向風海峽(位於西印度群島中古巴島與伊斯帕尼奧拉島之間)	向风海峡(位于西印度群岛中古巴岛与伊斯帕尼奥拉岛之间)
flowering quince	木瓜（Chaneomeles）	木瓜（Chaneomeles）
southern flounder	漠斑牙鮃	漠斑牙鲆
wild clary	野蠻人	野蛮人
wild radish	野生蘿蔔	野生萝卜
stiff aster	僵硬的星星	僵硬的星星
cotter pin	開口銷	开口销
horse radish	辣根	辣根
moss agate	蘚紋瑪瑙	藓纹玛瑙
apple maggot	【植物病理學	【植物病理学
pipe vise	管鉗	管钳
bridle path	騎馬專用道	骑马专用道
alveolar arch	牙槽弓	牙槽弓
false bracken	假蕨菜	假蕨菜
dispersing medium	分散劑	分散剂
dispersing phase	分散相	分散相
sussex spaniel	薩西克斯郡獵犬	萨西克斯郡猎犬
nerve plexus	神經叢	神经丛
telescopic sight	望遠鏡瞄準具	望远镜瞄准具
pars anterior	前部	前部
conjugated protein	綴合蛋白	缀合蛋白
parietal bone	頂骨	顶骨
grey flounder	灰色比目魚	灰色比目鱼
ascending aorta	升主動脈	升主动脉
sourdough bread	酵母麵包	酵母面包
mount rushmore	拉什莫爾山（位於美國南達科他州）	拉什莫尔山（位于美国南达科他州）
flat-topped white aster	平頂白色的星星	平顶白色的星星
peregrine falcon	遊隼	游隼
gray flounder	灰色比目魚	灰色比目鱼
dry-wood termite	幹木白蟻	干木白蚁
overcoat	外套大衣	外套大衣
pram	嬰兒車	婴儿车
rampart	壘	垒
actuator	開動者	开动者
orifice	孔口	孔口
androgen	雄激素	雄激素
blinks	閃光小雞草	闪光小鸡草
adrenalin	腎上腺素	肾上腺素
nostril	鼻孔	鼻孔
litmus	石蕊	石蕊
ringside	[the]比賽場的外圍	[the]比赛场的外围
wasabi	（吃生魚片沾用）山葵	（吃生鱼片沾用）山葵
sputnik	人造衛星	人造卫星
vino	酒	酒
beachfront	海濱地區	海滨地区
painkiller	解痛藥	解痛药
chalkboard	黑板	黑板
menthol	薄荷醇	薄荷醇
dubbing	配音複製	配音复制
miso	味噌	味噌
pansy	圓三色堇	圆三色堇
meniscus	新月形物	新月形物
auger	螺旋鑽	螺旋钻
riverbank	河堤	河堤
chorizo	西班牙加調料的口利左香腸	西班牙加调料的口利左香肠
flue	煙洞	烟洞
viaduct	高架橋	高架桥
tigris	底格里斯河（西南亞	底格里斯河（西南亚
vertebra	脊椎	脊椎
stanhope	單座敞篷輕便馬車	单座敞篷轻便马车
krypton	氪	氪
lapel	翻領	翻领
entree	入場許可	入场许可
lino	油地氈	油地毡
neb	嘴	嘴
cacao moth	可可[菸草]粉螟	可可[烟草]粉螟
critter	[方][謔]家畜	[方][谑]家畜
cytoplasm	細胞質	细胞质
huck	一種粗麻布	一种粗麻布
flavoring	調味料	调味料
new world warbler	新世界鶯鳥	新世界莺鸟
genus chara	Chara屬	Chara属
manna gum	多枝桉	多枝桉
genus sequoia	紅杉屬	红杉属
genus manta	屬	属
flue stop	煙道停止	烟道停止
venous sinus	靜脈竇	静脉窦
genus chlamydia	衣原體屬	衣原体属
gourd vine	葫蘆	葫芦
old world warbler	鶯科	莺科
true warbler	真鶯	真莺
litmus test	石蕊試驗	石蕊试验
field pansy	田堇菜	田堇菜
interstitial tissue	間質組織	间质组织
tigris river	底格里斯河	底格里斯河
rhinoceros beetle	【昆蟲】獨解仙(犀金龜屬甲蟲)[亦作dynastidae]	【昆虫】独解仙(犀金龟属甲虫)[亦作dynastidae]
litmus paper	石蕊試紙	石蕊试纸
horned chameleon	角變色龍	角变色龙
belted ammunition	帶彈藥	带弹药
sticky aster	粘稠的星星	粘稠的星星
bushel basket	容量為一蒲式耳的圓籃子	容量为一蒲式耳的圆篮子
prairie gourd	臭瓜	臭瓜
bottom-dweller	底層居民	底层居民
mushroom pimple	蘑菇疙瘩	蘑菇疙瘩
ringside seat	靠近拳擊臺的觀察席位	靠近拳击台的观察席位
pearly everlasting	香青	香青
wild pansy	三色堇	三色堇
speckled trout	斑鮭	斑鲑
graf zeppelin	齊柏林伯爵號	齐柏林伯爵号
tabor pipe	制導管	制导管
wood warbler	林柳鶯	林柳莺
powder-post termite	粉末白蟻	粉末白蚁
vertebral vein	脊椎靜脈	脊椎静脉
pair of tweezers	鑷子	镊子
dipole antenna	雙極天線	双极天线
yellow warbler	黃色林鶯(Dendroica petechia	黄色林莺(Dendroica petechia
golden warbler	【鳥類】金鶯(美洲鳴鳥	【鸟类】金莺(美洲鸣鸟
annual salt-marsh aster	一年一度的鹽沼	一年一度的盐沼
interstitial fluid	細胞間液	细胞间液
cellulose ester	纖維素酯	纤维素酯
bengal kino	孟加拉奇諾	孟加拉奇诺
loony bin	瘋人院	疯人院
gazelle hound	瞪羚獵犬	瞪羚猎犬
trouser cuff	褲子袖口	裤子袖口
heath aster	石南紫菀	石南紫菀
green mushroom pimple	綠色蘑菇疙瘩	绿色蘑菇疙瘩
elongate leaf	細長的葉子	细长的叶子
soured cream	酸奶油	酸奶油
corn chowder	玉米濃湯	玉米浓汤
turnip cabbage	球莖甘藍	球茎甘蓝
external orifice	外口	外口
sauvignon blanc	白索維農葡萄	白索维农葡萄
acetate rayon	醋酸人造絲	醋酸人造丝
hairy golden aster	毛茸茸的金色大猩猩	毛茸茸的金色大猩猩
alluvial sediment	沖積沉積物	冲积沉积物
strait of messina	墨西拿海峽	墨西拿海峡
leper lily	麻風百合	麻风百合
hairpin bend	險彎	险弯
genus aster	紫菀屬	紫菀属
sonora gum	索諾拉膠	索诺拉胶
genus mya	Mya屬	Mya属
orange mushroom pimple	橙色蘑菇疙瘩	橙色蘑菇疙瘩
trimmings	香腸原料肉（trimming複數形式）	香肠原料肉（trimming复数形式）
lingua	舌	舌
supercomputer	巨型計算機	巨型计算机
appendage	附加物	附加物
synapse	(神經)突觸	(神经)突触
sucrose	蔗糖	蔗糖
volga	伏爾加河[蘇聯西部](歐洲第一大河)	伏尔加河[苏联西部](欧洲第一大河)
polyurethane	聚氨酯	聚氨酯
salamander	火蜥蜴	火蜥蜴
midge	蠓	蠓
pistachio	阿月渾子樹	阿月浑子树
obelisk	方尖塔	方尖塔
ginseng	人參	人参
willamette	威拉米特河	威拉米特河
boson	玻色子	玻色子
flywheel	飛輪	飞轮
sinkhole	陰溝口	阴沟口
precipice	懸崖	悬崖
sternum	胸骨	胸骨
brainchild	腦力勞動的產物	脑力劳动的产物
rind	樹皮	树皮
scalpel	解剖刀	解剖刀
islet	小島	小岛
beetroot	甜菜根	甜菜根
bulwark	保障	保障
outcrop	露出	露出
interferon	干擾素	干扰素
sphincter	括約肌	括约肌
fulcrum	槓桿支點	杠杆支点
headstone	墓石	墓石
condensate	聚合物	聚合物
agua	阿瓜（人名）	阿瓜（人名）
parka	皮製連帽大衣	皮制连帽大衣
rosebud	薔薇花蕾	蔷薇花蕾
hibiscus	木槿	木槿
scraper	刮刀	刮刀
mountainside	山腹	山腹
sundae	聖代冰淇淋	圣代冰淇淋
fire salamander	火蠑螈	火蝾螈
american ginseng	西洋參	西洋参
sawed-off shotgun	短獵槍	短猎枪
felled seam	雙摺邊疊縫	双折边叠缝
lynx lynx	猞猁	猞猁
quack-quack	嘎嘎鴨	嘎嘎鸭
pariah dog	賤狗	贱狗
rock outcrop	岩石露頭	岩石露头
collared lizard	領圈蜥蜴	领圈蜥蜴
volga river	伏爾加河	伏尔加河
mooring mast	停機繫留裝置	停机系留装置
cape may warbler	慄頰林鶯	栗颊林莺
prairie aster	小陀螺紫菀	小陀螺紫菀
chinese hibiscus	扶桑	扶桑
willamette river	威拉米特河	威拉米特河
european fire salamander	歐洲火蠑螈	欧洲火蝾螈
adipose cell	脂肪細胞	脂肪细胞
crybaby tree	哭泣的樹	哭泣的树
charlestown navy yard	查爾斯頓海軍碼頭	查尔斯顿海军码头
pistachio tree	阿月渾子樹	阿月浑子树
toothache tree	美洲花椒	美洲花椒
planing machine	龍門刨床	龙门刨床
white prairie aster	白色大草原星座	白色大草原星座
billiard saloon	彈子房	弹子房
cannabis sativa	大麻	大麻
screw auger	螺旋木鑽	螺旋木钻
trimmer arch	爐前拱	炉前拱
willow aster	楊柳	杨柳
lingual vein	舌靜脈	舌静脉
flue pipe	煙道排氣管	烟道排气管
huntingdon willow	亨廷頓柳樹	亨廷顿柳树
riparian forest	河岸林	河岸林
long-tailed porcupine	長尾豪豬	长尾豪猪
pigeon droppings	鴿糞	鸽粪
mocking thrush	嘲鶇	嘲鸫
monoclonal antibody	單克隆抗體	单克隆抗体
orange rind	橙皮	橙皮
giant salamander	娃娃魚	娃娃鱼
palma christi	蓖麻	蓖麻
cheese rind	乾酪外皮	干酪外皮
sedative-hypnotic	鎮靜催眠藥	镇静催眠药
gaseous nebula	氣體星雲	气体星云
cartagena bark	披葉金雞納皮	披叶金鸡纳皮
guadalupe cypress	瓜達盧佩柏樹	瓜达卢佩柏树
dipole molecule	偶極分子	偶极分子
potato scab bacteria	馬鈴薯鏽菌	马铃薯锈菌
black-footed albatross	黑腳信天翁（太平洋沿海島嶼的一種信天翁（黑腳信天翁）	黑脚信天翁（太平洋沿海岛屿的一种信天翁（黑脚信天翁）
cardiac plexus	心神經叢	心神经丛
lemon meringue pie	檸檬塔	柠檬塔
peppered steak	燉牛排	炖牛排
sleeping hibiscus	深眠草	深眠草
fringed pink	巨麥草	巨麦草
swamp cottonwood	池楊	池杨
prefrontal cortex	前額皮質	前额皮质
bush hibiscus	灌木木槿	灌木木槿
prairie golden aster	草原金色的大猩猩	草原金色的大猩猩
olympic salamander	奧林匹克蠑螈	奥林匹克蝾螈
sponge gourd	絲瓜	丝瓜
tawny eagle	黃褐色鷹	黄褐色鹰
gallic acid	┢酸	┢酸
ice-cream sundae	冰淇淋聖代	冰淇淋圣代
sphincter muscle	括約肌	括约肌
vertebral artery	椎動脈	椎动脉
closet auger	衣櫃螺旋鑽	衣柜螺旋钻
terra cotta	赤土陶器的	赤土陶器的
cornish pasty	康瓦爾郡菜肉烘餅	康瓦尔郡菜肉烘饼
lakeland terrier	湖畔梗	湖畔梗
erecting prism	正像稜鏡	正像棱镜
lioness	雌獅	雌狮
silencer	使沉默的人	使沉默的人
bandana	大手帕（花色絲質的）	大手帕（花色丝质的）
bur	刺果	刺果
marinade	醃泡汁	腌泡汁
alleyway	小巷	小巷
chlorophyll	葉綠素	叶绿素
sedative-hypnotic drug	鎮靜助眠的藥物	镇静助眠的药物
mandible	顎	颚
chaff	穀殼	谷壳
chlorophyll a	葉綠素a	叶绿素a
cashew	腰果樹	腰果树
manhole	人孔	人孔
froth	泡	泡
loin	腰部	腰部
shanty	棚屋	棚屋
sunroof	汽車頂上可開啟的遮陽篷頂	汽车顶上可开启的遮阳篷顶
minibus	中客車	中客车
atticus	上鼓室	上鼓室
galleria	風雨商業街廊	风雨商业街廊
wmd	大規模殺傷性武器（weapon of mass destruction）	大规模杀伤性武器（weapon of mass destruction）
pix	焦油	焦油
seedling	秧苗	秧苗
quagmire	沼澤地	沼泽地
bulkhead	隔壁	隔壁
dingo	澳洲野犬	澳洲野犬
styrofoam	泡沫聚苯乙烯	泡沫聚苯乙烯
merlot	墨爾樂（法國釀酒用葡萄品種名）	墨尔乐（法国酿酒用葡萄品种名）
bristle	剛毛	刚毛
webbing	帶子	带子
reptilian	爬行動物	爬行动物
big marigold	萬壽菊	万寿菊
marigold	萬壽菊	万寿菊
loire	盧瓦爾河[法國中部](或譯羅亞爾河	卢瓦尔河[法国中部](或译罗亚尔河
snowmobile	雪上機動車	雪上机动车
arno	亞諾河（義大利中部河流）	亚诺河（意大利中部河流）
cloister	修道院	修道院
margate	馬爾蓋特（英國地名）	马尔盖特（英国地名）
acceptor	接受者	接受者
least shrew	最不爽	最不爽
sawdust saloon	鋸末沙龍	锯末沙龙
field marigold	現場萬壽菊	现场万寿菊
black margate	黑異孔石鱸(Anisotremus surinamensis	黑异孔石鲈(Anisotremus surinamensis
chlorophyll b	葉綠素b	叶绿素b
prowl car	巡邏者	巡逻者
chlorophyll c	葉綠素C	叶绿素C
water shrew	水鼩	水鼩
musculoskeletal system	肌肉骨系統	肌肉骨系统
chlorophyll d	葉綠素D	叶绿素D
beard lichen	松蘿	松萝
bridged-t	橋接T	桥接T
springer spaniel	斯伯林格斯班尼犬	斯伯林格斯班尼犬
common marigold	普通萬壽菊	普通万寿菊
manhole cover	人孔蓋	人孔盖
claret cup	一種冷飲品	一种冷饮品
common shrew	普通的sh。	普通的sh。
american water shrew	美國水rew	美国水rew
adipose tissue	脂肪組織	脂肪组织
sea scallop	美國扇貝	美国扇贝
french marigold	孔雀草	孔雀草
arno river	阿諾河	阿诺河
tiger salamander	虎螈	虎螈
english springer spaniel	英國史賓格犬	英国史宾格犬
sun marigold	太陽萬壽菊	太阳万寿菊
hog-nosed skunk	獾臭鼬	獾臭鼬
loire river	盧瓦爾河	卢瓦尔河
european water shrew	歐洲水rew。	欧洲水rew。
river arno	阿爾諾河	阿尔诺河
pacific giant salamander	陸巨螈	陆巨螈
sibley tent	Sibley帳篷	Sibley帐篷
showy daisy	豔麗的雛菊	艳丽的雏菊
cancer borealis	癌症北極	癌症北极
cashew tree	樹	树
tree shrew	樹？	树？
african marigold	萬壽菊	万寿菊
palatine vein	顎靜脈	腭静脉
himalayan rhubarb	雅大黃	雅大黄
